Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
4,0:21,4,10,GNB 15,Jason Myers 33 yard field goal good,38,38,2.440,3.000
4,0:17,,,NYJ 35,Jason Myers kicks off 65 yards touchback,38,38,0.000,-0.610
4,0:17,1,10,GNB 25,Aaron Rodgers kneels for -1 yards,38,38,0.610,-0.070
OT,10:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,38,38,0.000,-0.610
OT,10:00,1,10,GNB 25,Aaron Rodgers left end for 8 yards (tackle by Brandon Copeland),38,38,0.610,1.140
OT,9:14,2,2,GNB 33,Jamaal Williams middle for 7 yards (tackle by Henry Anderson),38,38,1.140,1.600
OT,8:41,1,10,GNB 40,Aaron Rodgers pass incomplete short right intended for Jamaal Williams (defended by Henry Anderson),38,38,1.600,1.050
OT,8:38,2,10,GNB 40,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for no gain,38,38,1.050,0.370
OT,7:54,3,10,GNB 40,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Trumaine Johnson: Defensive Pass Interference 33 yards (no play),38,38,0.370,3.780
OT,7:47,1,10,NYJ 27,Jamaal Williams right tackle for 9 yards (tackle by Avery Williamson),38,38,3.780,4.530
OT,7:30,2,1,NYJ 18,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Morris Claiborne). Penalty on GNB: Illegal Shift (Offsetting) Penalty on NYJ: Defensive Too Many Men on Field (Offsetting) (no play),38,38,4.530,4.530
OT,7:26,2,1,NYJ 18,Jamaal Williams right tackle for 5 yards (tackle by Jamal Adams),38,38,4.530,4.710
OT,6:43,1,10,NYJ 13,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,38,38,4.710,4.050
OT,6:36,2,10,NYJ 13,Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling. Penalty on Buster Skrine: Defensive Pass Interference 7 yards (no play),38,38,4.050,5.830
OT,6:33,1,6,NYJ 6,Aaron Rodgers right end for 6 yards. Penalty on Bryan Bulaga: Offensive Holding 10 yards (no play),38,38,5.830,4.310
OT,6:28,1,16,NYJ 16,Aaron Rodgers pass complete deep middle to Davante Adams for 16 yards touchdown,44,38,4.310,6.000
